Username,FollowerCount,FollowingCount,ContainsKeywords,AverageTweetTime,HashtagUsage,PercentDifference,,Bot
AM730Traffic,80134,188,FALSE,-302.5555556,11,-99.76539297,,FALSE
RichQuack ,342147,721,FALSE,-395.2222222,0,-99.78927186,,TRUE
BostonGrokette,656,138,TRUE,-105.6666667,0,-78.96341463,,TRUE
DAZN_CA,42437,734,FALSE,-9637.444444,10,-98.27037727,,FALSE
CryptonianNuke,5354,369,TRUE,-1667.555556,0,-93.10795667,,TRUE
GrokovichNik,356,157,TRUE,-840.2222222,1,-55.8988764,,TRUE
ghulamhani15077,115,1061,TRUE,-27.5,0,822.6086957,,FALSE
CryptoStockBull,1170,273,FALSE,0,0,-76.66666667,,FALSE
corruptedchai,157,211,FALSE,0,0,34.39490446,,FALSE
andysueth3,0,0,TRUE,0,0,0,,TRUE
haf_bot,72,4,FALSE,0,0,-94.44444444,,TRUE
pjstock28,76939,1075,TRUE,-43147.875,8,-98.60278922,,FALSE
Wealthsimple,88305,11,TRUE,-12538.88889,0,-99.98754317,,FALSE
JustinEngel1989,239,274,FALSE,0,0,14.64435146,,FALSE
cmScanner_RSI,1151,18,FALSE,-1792.333333,0,-98.43614248,,TRUE
_Bitify,539,1,FALSE,-3600,0,-99.81447124,,TRUE
sasa_ghada,22824,3160,FALSE,-407.4444444,0,-86.15492464,,FALSE
kjosandhu,12,95,FALSE,0,0,691.6666667,,FALSE
Jashen619,45,182,FALSE,0,0,304.4444444,,FALSE
jhon7073,57,1,TRUE,-48.55555556,6,-98.24561404,,TRUE
054_Reyhan,37,230,TRUE,-340.5555556,2,521.6216216,,TRUE
muel808,40,1,TRUE,-27.11111111,8,-97.5,,TRUE
0cryptoB6163,7,375,TRUE,-27.88888889,2,5257.142857,,TRUE
CRYPT0_FINANCE,18164,9,TRUE,-43817.44444,44,-99.95045144,,TRUE
FT,5884278,1047,FALSE,-3569.555556,0,-99.98220682,,FALSE
BoardIQ,292,47,TRUE,-86398,0,-83.90410959,,FALSE
Ignites,5911,382,FALSE,-21566.88889,0,-93.53747251,,TRUE
benmurane,2326,553,FALSE,-9614.555556,1,-76.22527945,,FALSE
Inj_pixeldog,8806,29,TRUE,-21333.66667,46,-99.67067908,,FALSE
PivanoFrancesco,26,171,FALSE,0,0,557.6923077,,TRUE
5Q6qSBCBhQI8YZw,18,356,FALSE,0,0,1877.777778,,TRUE
klvuii,3089,999,FALSE,-483.6666667,0,-67.65943671,,FALSE
dungan1979,83,1881,FALSE,-1325.111111,6,2166.26506,,TRUE
amin_nasir95,323,1839,TRUE,0,0,469.3498452,,FALSE
Evelynhyr,452,1495,FALSE,0,0,230.7522124,,TRUE
danielmaniz707,89,1528,TRUE,-28.22222222,4,1616.853933,,TRUE
JoinEveryworld,211983,144,TRUE,-8653.666667,0,-99.93207002,,FALSE
Wily7070,14,136,FALSE,0,0,871.4285714,,TRUE
LibrarianJoe_,19170,975,FALSE,-2510,0,-94.91392801,,TRUE
MiyaSanchez3,1208,2680,FALSE,0,0,121.8543046,,TRUE
AlexPearso31469,120,3005,FALSE,0,0,2404.166667,,FALSE
SulemanTurk01,1870,4912,FALSE,-54511.77778,0,162.6737968,,TRUE
teamBubblebott,137,871,FALSE,0,0,535.7664234,,TRUE
_ValerieBatalla,69207,985,FALSE,-29412.33333,0,-98.57673357,,FALSE
s71gnthxlr,701,387,TRUE,-844.2222222,0,-44.79315264,,TRUE
HomeBuddyCom,1787,12,FALSE,0,0,-99.32848349,,FALSE
Ninjas_dog,56,22,TRUE,-4234,7,-60.71428571,,TRUE
pardi707,22,569,TRUE,-58719.14286,5,2486.363636,,TRUE
WeaMtoken,12289,3,FALSE,-16205.88889,9,-99.97558792,,TRUE
CarrotOllie,611,816,FALSE,-3611.204082,1,33.55155483,,FALSE
Crypto_Botman,3,9,TRUE,-8575.8,1,200,,TRUE
_nxlvn,983,887,FALSE,0,0,-9.76602238,,FALSE
BotFinanceBR,310,55,FALSE,-28.8499,,-82.25806452,,TRUE
FinancialBuzzCA,156,19,TRUE,-1212,2,-87.82051282,,TRUE
Matthew3028,291,549,TRUE,-14674.53659,0,88.65979381,,FALSE
liverblokelfc,4339,2362,FALSE,-46070.5,0,-45.56349389,,FALSE
dogebot777,4,4,FALSE,-21015.875,8,0,,TRUE
SECDEEZNUTZZ,8497,548,TRUE,-7013.816327,0,-93.55066494,,FALSE
bot16380247,535,174,FALSE,0,0,-67.47663551,,TRUE
Kk44484503,3025,980,FALSE,0,0,-67.60330579,,TRUE
loyal_crypto09,295,885,TRUE,-5958.836735,3,200,,FALSE
bishopsd_kate,89,94,TRUE,-172267.5,9,5.617977528,,TRUE
BotstockImages,0,5,FALSE,0,0,0,,FALSE
Shtreetwear,195057,5500,FALSE,-14219.35714,0,-97.1803114,,FALSE
bot94708120,878,1510,FALSE,0,0,71.98177677,,TRUE
ke_crypto55255,8,30,FALSE,0,0,275,,FALSE
gauravsandhar,346,489,TRUE,-255417,1,41.32947977,,FALSE
cryptostock6,0,9,FALSE,0,0,0,,TRUE
CodifyBaseball,109682,223,FALSE,-1853.22449,0,-99.79668496,,FALSE
STOCKBOY7254,199,683,TRUE,-66896,1,243.2160804,,TRUE
DC_Options,104,219,FALSE,0,0,110.5769231,,FALSE
Lfc__vision,11209,968,FALSE,-1774.367347,0,-91.36408243,,FALSE
Db_14db,191,101,FALSE,0,0,-47.12041885,,TRUE
financecrypto7,129,250,TRUE,-15103.11111,12,93.79844961,,FALSE
ErsN51531111,507,295,TRUE,-80694.66667,7,-41.81459566,,TRUE
TvdMountain,149,28,TRUE,-12307.53333,14,-81.20805369,,FALSE
trvisXX,11959866,654,FALSE,-122118,0,-99.99453171,,FALSE
yusuef83,53,10,FALSE,0,1,-81.13207547,,TRUE
rakeshbariyar21,94,15,FALSE,-106,0,-84.04255319,,FALSE
Bitcoin5588,2697,2621,FALSE,0,0,-2.817945866,,TRUE
AnfieldSector,89371,1344,FALSE,-1636.183673,4,-98.49615647,,FALSE
soccerbot6,959,848,FALSE,0,0,-11.57455683,,TRUE
Stocktwits,1008360,2588,TRUE,-8570.979592,0,-99.74334563,,FALSE
